track_id,appearance_frames,total_distance_px,average_speed_px_per_frame,start_frame,end_frame
1,199,1131.397970124818,5.714131162246555,0,223
2,260,2014.416500375448,7.777669885619491,0,276
3,22,193.96887600233217,9.2366131429682,0,21
4,194,2478.4459121965933,12.841688664231054,0,195
5,4,71.76934462497267,23.92311487499089,0,3
6,3,17.560411551251473,8.780205775625737,46,48
7,18,112.95977049252497,6.6446923819132335,69,86
8,30,283.39809807375974,9.772348209439992,70,99
9,30,264.5853588068719,9.123633062305927,99,142
13,79,1511.8539276493416,19.382742662171047,131,212
17,3,62.353492090560195,31.176746045280098,154,156
23,112,396.87275946250566,3.575430265427979,165,276
25,33,369.67639953420775,11.552387485443992,168,200
26,100,839.2550653944588,8.477323892873322,177,276
28,12,252.7973328545039,22.98157571404581,191,225
31,84,185.6111768430666,2.2362792390730917,193,276
33,28,479.13179564379357,17.745622060881242,197,229
34,1,0.0,0.0,201,201
35,46,465.1860347425392,10.337467438723094,206,251
36,1,0.0,0.0,214,214
40,6,7.427086878175158,1.4854173756350315,228,233
41,7,205.88335990696447,34.313893317827414,234,249
43,18,326.3617756210513,19.197751507120667,236,253
44,5,32.65957417696503,8.164893544241258,247,251
47,12,12.12136441885161,1.1019422198956008,249,260
50,5,22.970924333061973,5.742731083265493,261,265
52,13,55.61422727813563,4.634518939844636,264,276
53,5,81.28882739683016,20.32220684920754,264,268
54,11,39.91637152114484,3.991637152114484,266,276
